Fixed_Question_Equation,Fixed_Question_Answer,Question,Fixed_Question,Question_Digits,Decimal_Question,Question_Steps,Question_Information_Irrelevance,Question_Length,Question_Length_Cateogry
x=+46+47+12,105,"Jason picked 46 pears, Keith picked 47 pears and Mike picked 12 pears from the pear tree. How many pears were picked in total?","Jason picked 46 pears, Keith picked 47 pears and Mike picked 12 pears from the pear tree. How many pears were picked in total?",2,0,2,0,126,B. 100<=x<200
x=+29+16+20,65,"Keith grew 29 cantelopes, Fred grew 16 cantelopes and Jason grew 20 cantelopes. How many cantelopes did they grow in total?","Keith grew 29 cantelopes, Fred grew 16 cantelopes and Jason grew 20 cantelopes. How many cantelopes did they grow in total?",2,0,2,0,123,B. 100<=x<200
x=+19+39+25,83,Melanie had 19 dimes in her bank. Her dad gave her 39 dimes and her mother gave her 25 dimes. How many dimes does Melanie have now?,Melanie had 19 dimes in her bank. Her dad gave her 39 dimes and her mother gave her 25 dimes. How many dimes does Melanie have now?,2,0,2,0,131,B. 100<=x<200
x=+37+28+39,104,"Alyssa has 37 blue balloons, Sandy has 28 blue balloons and Sally has 39 blue balloons. How many blue balloons do they have in all?","Alyssa has 37 blue balloons, Sandy has 28 blue balloons and Sally has 39 blue balloons. How many blue balloons do they have in all?",2,0,2,0,131,B. 100<=x<200
x=+27+41+20,88,Sally had 27 Pokemon cards. Dan gave her 41 new Pokemon cards. Sally bought 20 Pokemon cards. How many Pokemon cards does Sally have now?,Sally had 27 Pokemon cards. Dan gave her 41 new Pokemon cards. Sally bought 20 Pokemon cards. How many Pokemon cards does Sally have now?,2,0,2,0,137,B. 100<=x<200
x=+11+17+16,44,Jason went to 11 football games this month. He went to 17 games last month and plans to go to 16 games next month. How many games will he attend in all?,Jason went to 11 football games this month. He went to 17 games last month and plans to go to 16 games next month. How many games will he attend in all?,2,0,2,1,152,B. 100<=x<200
x=+43+19+16,78,There are 43 pencils in the drawer and 19 pencils on the desk. Dan placed 16 pencils on the desk. How many pencils are now there in total?,There are 43 pencils in the drawer and 19 pencils on the desk. Dan placed 16 pencils on the desk. How many pencils are now there in total?,2,0,2,1,138,B. 100<=x<200
x=+56-35,21,Mike has 35 books in his library. He bought several books at a yard sale over the weekend. He now has 56 books in his library. How many books did he buy at the yard sale?,Mike has 35 books in his library. He bought several books at a yard sale over the weekend. He now has 56 books in his library. How many books did he buy at the yard sale?,2,0,1,1,170,B. 100<=x<200
x=+64-53,11,There are 53 maple trees currently in the park. Park workers will plant maple trees today. When the workers are finished there will be 64 maple trees in the park. How many maple trees did the workers plant today?,There are 53 maple trees currently in the park. Park workers will plant maple trees today. When the workers are finished there will be 64 maple trees in the park. How many maple trees did the workers plant today?,2,0,1,1,212,C. x>=200
x=+56-22,34,"Dan found 56 seashells on the beach, he gave Jessica some of his seashells. He has 22 seashell. How many seashells did he give to Jessica?","Dan found 56 seashells on the beach, he gave Jessica some of his seashells. He has 22 seashells left. How many seashells did he give to Jessica?",2,0,1,1,144,B. 100<=x<200
x=+55-13,42,Sally had 13 peaches at her roadside fruit dish. She went to the orchard and picked peaches to stock up. There are now 55 peaches. How many did she pick?,Sally had 13 peaches at her roadside fruit dish. She went to the orchard and picked peaches to stock up. There are now 55 peaches. How many did she pick?,2,0,1,1,153,B. 100<=x<200
x=+67-33,34,"Benny received 67 dollars for his birthday. He went to a sporting goods store and bought a baseball glove, baseball and bat. He had 33 dollars over, how much did he spent on the baseball gear?","Benny received 67 dollars for his birthday. He went to a sporting goods store and bought a baseball glove, baseball and bat. He had 33 dollars left over, how much did he spent on the baseball gear?",2,0,1,1,197,B. 100<=x<200
x=+14-3,11,There were 3 roses in the vase. Alyssa cut some roses from her flower garden. There are now 14 roses in the vase. How many roses did she cut?,There were 3 roses in the vase. Alyssa cut some roses from her flower garden. There are now 14 roses in the vase. How many roses did she cut?,2,0,1,1,141,B. 100<=x<200
x=+86-74,12,Last week Tom had 74 dollars. He washed cars over the weekend and now has 86 dollars. How much money did he make washing cars?,Last week Tom had 74 dollars. He washed cars over the weekend and now has 86 dollars. How much money did he make washing cars?,2,0,1,1,126,B. 100<=x<200
x=+96-73,23,There were 73 bales of hay in the barn. Jason stacked bales in the barn today. There are now 96 bales of hay in the barn. How many bales did he store in the barn?,There were 73 bales of hay in the barn. Jason stacked bales in the barn today. There are now 96 bales of hay in the barn. How many bales did he store in the barn?,2,0,1,1,162,B. 100<=x<200
x=+6+7,13,Nancy grew 6 potatoes. Sandy grew 7 potatoes. How many potatoes did they grow in total?,Nancy grew 6 potatoes. Sandy grew 7 potatoes. How many potatoes did they grow in total?,1,0,1,0,87,A. x<100
x=+9+3,12,There are 9 crayons in the drawer. Benny placed 3 crayons in the drawer. How many crayons are now there in total?,There are 9 crayons in the drawer. Benny placed 3 crayons in the drawer. How many crayons are now there in total?,1,0,1,0,113,B. 100<=x<200
x=+5+4,9,There are 5 oak trees currently in the park. Park workers will plant 4 oak trees today. How many oak trees will the park have when the workers are finished?,There are 5 oak trees currently in the park. Park workers will plant 4 oak trees today. How many oak trees will the park have when the workers are finished?,1,0,1,1,156,B. 100<=x<200
x=+7-4,3,Tom found 7 seashells but 4 were broken. How many unbroken seashells did Tom find?,Tom found 7 seashells but 4 were broken. How many unbroken seashells did Tom find?,1,0,1,0,82,A. x<100
x=+7+9,16,Sally picked 7 lemons and Mary picked 9 lemons from the lemon tree. How many lemons were picked in total?,Sally picked 7 lemons and Mary picked 9 lemons from the lemon tree. How many lemons were picked in total?,1,0,1,0,105,B. 100<=x<200
x=+6+9,15,A restaurant served 6 cakes during lunch and 9 during dinner today. How many cakes were served today?,A restaurant served 6 cakes during lunch and 9 during dinner today. How many cakes were served today?,1,0,1,1,101,B. 100<=x<200
x=+8-2,6,Joan has 8 orange balloons but lost 2 of them. How many orange balloons does Joan have now?,Joan has 8 orange balloons but lost 2 of them. How many orange balloons does Joan have now?,1,0,1,0,91,A. x<100
x=+7-3,4,Fred had 7 dimes in his bank. His sister borrowed 3 of his dimes. How many dimes does Fred have now?,Fred had 7 dimes in his bank. His sister borrowed 3 of his dimes. How many dimes does Fred have now?,1,0,1,0,100,B. 100<=x<200
x=+8-2,6,Joan's cat had 8 kittens. She gave 2 to her friends. How many kittens does she have now?,Joan's cat had 8 kittens. She gave 2 to her friends. How many kittens does she have now?,1,0,1,0,88,A. x<100
x=+49+34,83,There are 34 dogwood trees currently in the park. Park workers will plant 49 dogwood trees today. How many dogwood trees will the park have when the workers are finished?,There are 34 dogwood trees currently in the park. Park workers will plant 49 dogwood trees today. How many dogwood trees will the park have when the workers are finished?,2,0,1,1,170,B. 100<=x<200
x=+27+45,72,There are 27 pencils in the drawer. Nancy placed 45 pencils in the drawer. How many pencils are now there in total?,There are 27 pencils in the drawer. Nancy placed 45 pencils in the drawer. How many pencils are now there in total?,2,0,1,0,115,B. 100<=x<200
x=+35-18,17,"Sam found 35 seashells on the beach, he gave Joan 18 of the seashells. How many seashells does he now have?","Sam found 35 seashells on the beach, he gave Joan 18 of the seashells. How many seashells does he now have?",2,0,1,0,107,B. 100<=x<200
x=+22+20,42,Tim has 22 books. Mike has 20 books. How many books do they have together?,Tim has 22 books. Mike has 20 books. How many books do they have together?,2,0,1,0,74,A. x<100
x=+87-13,74,Mike has 87 baseball cards. Sam bought 13 of Mike's baseball cards. How many baseball cards does Mike have now?,Mike has 87 baseball cards. Sam bought 13 of Mike's baseball cards. How many baseball cards does Mike have now?,2,0,1,0,111,B. 100<=x<200
x=+51+23,74,Sandy grew 51 pumpkins. Mike grew 23 pumpkins. How many pumpkins did they grow in total?,Sandy grew 51 pumpkins. Mike grew 23 pumpkins. How many pumpkins did they grow in total?,2,0,1,0,88,A. x<100
x=+44+52,96,Tim has 44 books. Sam has 52 books. How many books do they have together?,Tim has 44 books. Sam has 52 books. How many books do they have together?,2,0,1,0,73,A. x<100
x=+64-14,50,"Dan has 64 violet marbles, he gave Mary 14 of the marbles. How many violet marbles does he now have?","Dan has 64 violet marbles, he gave Mary 14 of the marbles. How many violet marbles does he now have?",2,0,1,0,100,B. 100<=x<200
x=+73+25,98,There are 25 popular trees currently in the park. Park workers will plant 73 popular trees today. How many popular trees will the park have when the workers are finished?,There are 25 popular trees currently in the park. Park workers will plant 73 popular trees today. How many popular trees will the park have when the workers are finished?,2,0,1,1,170,B. 100<=x<200
x=+54+22,76,There are 54 scissors in the drawer. Keith placed 22 scissors in the drawer. How many scissors are now there in all?,There are 54 scissors in the drawer. Keith placed 22 scissors in the drawer. How many scissors are now there in all?,2,0,1,0,116,B. 100<=x<200
x=+42+17,59,Alyssa picked 42 pears and Nancy picked 17 pears from the pear tree. How many pears were picked in all?,Alyssa picked 42 pears and Nancy picked 17 pears from the pear tree. How many pears were picked in all?,2,0,1,0,103,B. 100<=x<200
x=+98-93,5,Sam had 98 pennies in his bank. He spent 93 of his pennies. How many pennies does he have now?,Sam had 98 pennies in his bank. He spent 93 of his pennies. How many pennies does he have now?,2,0,1,0,94,A. x<100
x=+79-63,16,"Joan found 79 seashells on the beach, she gave Mike 63 of the seashells. How many seashells does she now have?","Joan found 79 seashells on the beach, she gave Mike 63 of the seashells. How many seashells does she now have?",2,0,1,0,110,B. 100<=x<200
x=+110+102,212,Sam has 110 books. Joan has 102 books. How many books do they have together?,Sam has 110 books. Joan has 102 books. How many books do they have together?,3,0,1,0,76,A. x<100
x=+122+105,227,Mary picked 122 oranges and Jason picked 105 oranges from the orange tree. How many oranges were picked in total?,Mary picked 122 oranges and Jason picked 105 oranges from the orange tree. How many oranges were picked in total?,3,0,1,0,113,B. 100<=x<200
x=+760-418,342,Sally had 760 quarters in her bank. She spent 418 of her quarters. How many quarters does she have now?,Sally had 760 quarters in her bank. She spent 418 of her quarters. How many quarters does she have now?,3,0,1,0,103,B. 100<=x<200
x=+139+113,252,Melanie grew 139 turnips. Benny grew 113 turnips. How many turnips did they grow in all?,Melanie grew 139 turnips. Benny grew 113 turnips. How many turnips did they grow in all?,3,0,1,0,88,A. x<100
x=+676-224,452,Jason has 676 Pokemon cards. Alyssa bought 224 of Jason's Pokemon cards. How many Pokemon cards does Jason have now?,Jason has 676 Pokemon cards. Alyssa bought 224 of Jason's Pokemon cards. How many Pokemon cards does Jason have now?,3,0,1,0,116,B. 100<=x<200
x=+107+104,211,There are 107 walnut trees currently in the park. Park workers will plant 104 walnut trees today. How many walnut trees will the park have when the workers are finished?,There are 107 walnut trees currently in the park. Park workers will plant 104 walnut trees today. How many walnut trees will the park have when the workers are finished?,3,0,1,1,169,B. 100<=x<200
x=+709-221,488,"Fred has 709 green balloons, he gave Sandy 221 of the balloons. How many green balloons does he now have?","Fred has 709 green balloons, he gave Sandy 221 of the balloons. How many green balloons does he now have?",3,0,1,0,105,B. 100<=x<200
x=+115+100,215,There are 115 pencils in the drawer. Sara placed 100 pencils in the drawer. How many pencils are now there in all?,There are 115 pencils in the drawer. Sara placed 100 pencils in the drawer. How many pencils are now there in all?,3,0,1,0,114,B. 100<=x<200
x=+3-2,1,Jason has 3 Pokemon cards. Benny bought 2 of Jason's Pokemon cards. How many Pokemon cards does Jason have now?,Jason has 3 Pokemon cards. Benny bought 2 of Jason's Pokemon cards. How many Pokemon cards does Jason have now?,1,0,1,0,111,B. 100<=x<200
x=+8-4,4,"Mike has 8 orange marbles, he gave Sam 4 of the marbles. How many orange marbles does he now have?","Mike has 8 orange marbles, he gave Sam 4 of the marbles. How many orange marbles does he now have?",1,0,1,0,98,A. x<100
x=+5-2,3,Joan had 5 dimes in her bank. She spent 2 of her dimes. How many dimes does she have now?,Joan had 5 dimes in her bank. She spent 2 of her dimes. How many dimes does she have now?,1,0,1,0,89,A. x<100
x=+2+4,6,There are 2 orchid bushes currently in the park. Park workers will plant 4 orchid bushes today. How many orchid bushes will the park have when the workers are finished?,There are 2 orchid bushes currently in the park. Park workers will plant 4 orchid bushes today. How many orchid bushes will the park have when the workers are finished?,1,0,1,1,168,B. 100<=x<200
x=+6+5,11,Sara picked 6 pears and Tim picked 5 pears from the pear tree. How many pears were picked in total?,Sara picked 6 pears and Tim picked 5 pears from the pear tree. How many pears were picked in total?,1,0,1,0,99,A. x<100
x=+4-3,1,"Sam grew 4 watermelons, but the rabbits ate 3 watermelons. How many watermelons does Sam have?","Sam grew 4 watermelons, but the rabbits ate 3 watermelons. How many watermelons does Sam have?",1,0,1,0,94,A. x<100
x=+9+4,13,Jason had Pokemon cards. He gave 9 to his friends. He now has 4 Pokemon cards. How many Pokemon cards did he have to start with?,Jason had Pokemon cards. He gave 9 to his friends. He now has 4 Pokemon cards. How many Pokemon cards did he have to start with?,1,0,1,1,128,B. 100<=x<200
x=+7+5,12,Mary had 7 nickels in her bank. Her dad gave her 5 nickels. How many nickels does Mary have now?,Mary had 7 nickels in her bank. Her dad gave her 5 nickels. How many nickels does Mary have now?,1,0,1,0,96,A. x<100
x=+6+9,15,Keith grew 6 turnips. Alyssa grew 9 turnips. How many turnips did they grow in all?,Keith grew 6 turnips. Alyssa grew 9 turnips. How many turnips did they grow in all?,1,0,1,0,83,A. x<100
x=+9+3,12,Mary has 9 yellow marbles Joan has 3 yellow marbles. How many yellow marbles do they have in all?,Mary has 9 yellow marbles Joan has 3 yellow marbles. How many yellow marbles do they have in all?,1,0,1,0,97,A. x<100
x=+6+4,10,Sally grew 6 carrots. Fred grew 4 carrots. How many carrots did they grow in all?,Sally grew 6 carrots. Fred grew 4 carrots. How many carrots did they grow in all?,1,0,1,0,81,A. x<100
x=+5-2,3,Tom found 5 seashells on the beach. He gave Jessica 2 of the seashells. How many seashells does he now have?,Tom found 5 seashells on the beach. He gave Jessica 2 of the seashells. How many seashells does he now have?,1,0,1,0,108,B. 100<=x<200
x=+5-3,2,Fred has 5 baseball cards. Melanie bought 3 of Fred's baseball cards. How many baseball cards does Fred have now?,Fred has 5 baseball cards. Melanie bought 3 of Fred's baseball cards. How many baseball cards does Fred have now?,1,0,1,0,113,B. 100<=x<200
x=+8-3,5,Mary had 8 potatoes in the garden. The rabbits ate 3 of the potatoes. How many potatoes does Mary now have?,Mary had 8 potatoes in the garden. The rabbits ate 3 of the potatoes. How many potatoes does Mary now have?,1,0,1,0,107,B. 100<=x<200
x=+9-2,7,There are 9 oak trees currently in the park. Park workers had to cut down 2 oak trees that were damaged. How many oak trees will the park have when the workers are finished?,There are 9 oak trees currently in the park. Park workers had to cut down 2 oak trees that were damaged. How many oak trees will the park have when the workers are finished?,1,0,1,1,173,B. 100<=x<200
x=+8-3,5,Jessica had 8 quarters in her bank. Her sister borrowed 3 of her quarters. How many quarters does Jessica have now?,Jessica had 8 quarters in her bank. Her sister borrowed 3 of her quarters. How many quarters does Jessica have now?,1,0,1,0,115,B. 100<=x<200
x=+9-3,6,A restaurant made 9 hamburgers to serve during lunch. Only 3 were actually served. How many hamburgers were over from lunch?,A restaurant made 9 hamburgers to serve during lunch. Only 3 were actually served. How many hamburgers were left over from lunch?,1,0,1,0,129,B. 100<=x<200
x=+7-3,4,There are 7 crayons in the drawer. Mary took 3 crayons out of the drawer. How many crayons are there now?,There are 7 crayons in the drawer. Mary took 3 crayons out of the drawer. How many crayons are there now?,1,0,1,0,105,B. 100<=x<200
x=+9-4,5,Dan picked 9 limes and gave Sara 4 of the limes. How many limes does Dan have now?,Dan picked 9 limes and gave Sara 4 of the limes. How many limes does Dan have now?,1,0,1,0,82,A. x<100
x=+9-2,7,Joan has 9 blue balloons but lost 2 of them. How many blue balloons does Joan have now?,Joan has 9 blue balloons but lost 2 of them. How many blue balloons does Joan have now?,1,0,1,0,87,A. x<100
